ProviderID,HospitalName,Address,City,State,ZIP,County,Phone,PaymentName,PaymentMeasureID,Category,Denominator,Payment,LowerEst,HigherEst,Footnote,ValueDisplay,ValueDisplayID,CareCategory,CareFootnote,StartDate,EndDate,Location
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"PO BOX 649
FORT DEFIANCE, AZ
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,28,"$14,966","$12,642","$17,582",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"PO BOX 649
FORT DEFIANCE, AZ
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,131,"$11,253","$10,044","$12,479",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"PO BOX 649
FORT DEFIANCE, AZ
"
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"PO BOX 600
TUBA CITY, AZ
"
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,35,"$12,727","$10,960","$14,904",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"PO BOX 600
TUBA CITY, AZ
"
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,109,"$11,467","$10,250","$12,717",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"PO BOX 600
TUBA CITY, AZ
"
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Payment for heart attack patients,PAYM_30_AMI,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
"
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
"
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
"
030077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for heart attack patients,PAYM_30_AMI,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"103 MEDICINE WAY ROAD
PERIDOT, AZ
"
