ProviderID,HospitalName,Address,City,State,ZIP,County,Phone,MeasureName,MeasureID,ComparedToNational,Denominator,Score,LowerEst,HigherEst,Footnote,StartDate,EndDate,Location
030022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,MARICOPA,6023445011,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2012,06/30/2015,"2601 EAST ROOSEVELT STREET
PHOENIX, AZ
(33.458525, -112.02643)"
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,9287732378,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,No Different than the National Rate,797,3.7,2.8,4.8,,07/01/2012,06/30/2015,"1200 NORTH BEAVER STREET
FLAGSTAFF, AZ
(35.209534, -111.644835)"
030033,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,GILA,9284743222,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,99,11.0,8.1,14.7,,07/01/2012,06/30/2015,"807 SOUTH PONDEROSA DRIVE
PAYSON, AZ
(34.231724, -111.321375)"
030038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,4808824000,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,Worse than the National Rate,215,10.6,8.2,13.6,,07/01/2012,06/30/2015,"7400 EAST OSBORN ROAD
SCOTTSDALE, AZ
(33.487639, -111.922725)"
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,GRAHAM,9283484000,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,No Different than the National Rate,124,16.6,13.1,20.6,,07/01/2012,06/30/2015,"1600 SOUTH 20TH AVENUE
SAFFORD, AZ
(32.821883, -109.732994)"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2012,06/30/2015,"PO BOX 649
FORT DEFIANCE, AZ
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2012,06/30/2015,"PO BOX 649
FORT DEFIANCE, AZ
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2012,06/30/2015,"PO BOX 649
FORT DEFIANCE, AZ
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,29,12.4,8.7,17.0,,07/01/2012,06/30/2015,"PO BOX 649
FORT DEFIANCE, AZ
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,149,13.5,9.9,18.0,,07/01/2012,06/30/2015,"PO BOX 649
FORT DEFIANCE, AZ
"
